	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12
clone1	-1	-1	-1	4	1	5	6	-1	7	-1	-1	-1
clone2	-1	-1	-1	4	1	5	6	5	7	-1	-1	-1
clone3	-1	-1	-1	11	12	8	13	-1	14	19	19	20
clone4	-1	2	3	4	1	-1	-1	5	7	-1	-1	-1
clone6	-1	2	3	4	1	5	6	2	7	-1	-1	-1
clone7	-1	2	3	4	1	5	6	4	-1	-1	-1	-1
clone8	-1	2	3	4	1	5	6	4	7	-1	-1	-1
clone9	-1	2	3	4	1	5	6	5	-1	-1	-1	-1
clone11	-1	2	3	4	1	5	6	5	7	0	0	0
clone13	-1	2	3	4	1	5	6	9	7	-1	-1	-1
clone14	-1	2	3	4	1	5	6	11	7	-1	-1	-1
clone16	-1	2	3	4	1	5	6	26	7	-1	-1	-1
clone17	-1	2	3	4	1	5	6	27	-1	-1	-1	-1
clone18	-1	2	3	4	1	5	6	31	7	-1	-1	-1
clone19	-1	2	3	4	1	8	6	-1	7	-1	-1	-1
clone20	-1	2	3	4	1	8	6	5	7	-1	-1	-1
clone21	-1	2	3	4	1	8	6	24	7	-1	-1	-1
clone22	-1	2	3	4	1	9	6	5	7	-1	-1	-1
clone23	-1	2	3	4	1	18	6	-1	7	-1	-1	-1
clone24	-1	2	3	4	1	23	6	5	7	-1	-1	-1
clone25	-1	2	3	4	1	30	6	5	7	-1	-1	-1
clone26	-1	9	10	11	12	8	13	-1	14	-1	-1	-1
clone27	-1	9	10	11	12	8	13	-1	14	19	19	20
clone28	0	9	10	11	12	8	13	-1	-1	-1	-1	-1
clone29	0	9	10	11	12	8	13	-1	14	-1	-1	-1
clone30	1	2	3	4	1	0	6	5	7	-1	-1	-1
clone31	1	2	3	4	1	4	6	5	7	-1	-1	-1
clone33	1	2	3	4	1	5	6	0	7	-1	-1	-1
clone34	1	2	3	4	1	5	6	2	7	-1	-1	-1
clone35	1	2	3	4	1	5	6	4	7	-1	-1	-1
clone37	1	2	3	4	1	5	6	5	7	0	0	0
clone38	1	2	3	4	1	5	6	8	7	-1	-1	-1
clone39	1	2	3	4	1	5	6	9	7	-1	-1	-1
clone40	1	2	3	4	1	5	6	11	7	-1	-1	-1
clone41	1	2	3	4	1	5	6	15	7	-1	-1	-1
clone42	1	2	3	4	1	5	6	16	7	-1	-1	-1
clone43	1	2	3	4	1	5	6	18	7	-1	-1	-1
clone44	1	2	3	4	1	5	6	21	7	-1	-1	-1
clone45	1	2	3	4	1	5	6	25	7	-1	-1	-1
clone46	1	2	3	4	1	5	6	28	7	-1	-1	-1
clone47	1	2	3	4	1	5	6	29	7	-1	-1	-1
clone48	1	2	3	4	1	5	6	32	7	-1	-1	-1
clone49	1	2	3	4	1	8	6	5	7	-1	-1	-1
clone50	1	2	3	4	1	8	6	8	7	-1	-1	-1
clone51	1	2	3	4	1	9	6	-1	7	-1	-1	-1
clone52	1	2	3	4	1	9	6	5	7	-1	-1	-1
clone53	1	2	3	4	1	17	6	5	7	-1	-1	-1
clone54	1	9	10	11	12	8	13	-1	14	-1	-1	-1
clone55	22	9	10	11	12	8	13	-1	14	-1	-1	-1
clone5_0	-1	2	3	4	1	5	6	-1	7	-1	-1	-1
clone5_1	-1	2	3	4	1	5	6	-1	7	-1	-1	-1
clone10_0	-1	2	3	4	1	5	6	5	7	-1	-1	-1
clone10_1	-1	2	3	4	1	5	6	5	7	-1	-1	-1
clone12_0	-1	2	3	4	1	5	6	8	7	-1	-1	-1
clone12_1	-1	2	3	4	1	5	6	8	7	-1	-1	-1
clone15_0	-1	2	3	4	1	5	6	16	7	-1	-1	-1
clone15_1	-1	2	3	4	1	5	6	16	7	-1	-1	-1
clone32_0	1	2	3	4	1	5	6	-1	7	-1	-1	-1
clone32_1	1	2	3	4	1	5	6	-1	7	-1	-1	-1
clone36_0	1	2	3	4	1	5	6	5	7	-1	-1	-1
clone36_1	1	2	3	4	1	5	6	5	7	-1	-1	-1
