group_name	tissues
clone1	T
clone2	L
clone3	T
clone4	L
clone6	L
clone7	T
clone8	T
clone9	L
clone11	T
clone13	T
clone14	T
clone16	T
clone17	L
clone18	T
clone19	L
clone20	T
clone21	L
clone22	T
clone23	L
clone24	T
clone25	T
clone26	T
clone27	T
clone28	T
clone29	T
clone30	T
clone31	T
clone33	T
clone34	L
clone35	T
clone37	T
clone38	T
clone39	T
clone40	T
clone41	T
clone42	T
clone43	L
clone44	T
clone45	T
clone46	T
clone47	T
clone48	T
clone49	T
clone50	T
clone51	T
clone52	T
clone53	T
clone54	T
clone55	T
clone5_0	L
clone5_1	T
clone10_0	L
clone10_1	T
clone12_0	L
clone12_1	T
clone15_0	L
clone15_1	T
clone32_0	L
clone32_1	T
clone36_0	L
clone36_1	T
